term,era_i,era_j,cosine_distance,contexts_i,contexts_j
workflow_dispatch,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,1
workflow_dispatch,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,54
workflow_dispatch,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.3125520348548889,1,54
matrix,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,6
matrix,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,52
matrix,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.38938790559768677,6,52
secrets,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,1
secrets,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,194
secrets,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.3552684187889099,1,194
cache,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,46
cache,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,159
cache,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.18912702798843384,46,159
artifact,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,5
artifact,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,129
artifact,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.3696160316467285,5,129
runner,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,7
runner,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,232
runner,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.2501736879348755,7,232
pipeline,2017-01-01 to 2020-03-31,2020-04-01 to 2022-06-30,,0,16
pipeline,2017-01-01 to 2020-03-31,2022-07-01 to 2025-12-31,,0,786
pipeline,2020-04-01 to 2022-06-30,2022-07-01 to 2025-12-31,0.18803012371063232,16,786
