term,era,docs_with_term,docs_total,share
workflow_dispatch,2017-01-01 to 2020-03-31,0,0,0.0
workflow_dispatch,2020-04-01 to 2022-06-30,1,211,0.004739336492890996
workflow_dispatch,2022-07-01 to 2025-12-31,50,1001,0.04995004995004995
matrix,2017-01-01 to 2020-03-31,0,0,0.0
matrix,2020-04-01 to 2022-06-30,4,211,0.018957345971563982
matrix,2022-07-01 to 2025-12-31,35,1001,0.03496503496503497
secrets,2017-01-01 to 2020-03-31,0,0,0.0
secrets,2020-04-01 to 2022-06-30,1,211,0.004739336492890996
secrets,2022-07-01 to 2025-12-31,136,1001,0.13586413586413587
cache,2017-01-01 to 2020-03-31,0,0,0.0
cache,2020-04-01 to 2022-06-30,38,211,0.18009478672985782
cache,2022-07-01 to 2025-12-31,112,1001,0.11188811188811189
artifact,2017-01-01 to 2020-03-31,0,0,0.0
artifact,2020-04-01 to 2022-06-30,2,211,0.009478672985781991
artifact,2022-07-01 to 2025-12-31,79,1001,0.07892107892107893
runner,2017-01-01 to 2020-03-31,0,0,0.0
runner,2020-04-01 to 2022-06-30,7,211,0.03317535545023697
runner,2022-07-01 to 2025-12-31,136,1001,0.13586413586413587
pipeline,2017-01-01 to 2020-03-31,0,0,0.0
pipeline,2020-04-01 to 2022-06-30,13,211,0.061611374407582936
pipeline,2022-07-01 to 2025-12-31,400,1001,0.3996003996003996
