topic,top_terms
0,"travis, build, docker, run, error, file, ci, install, npm, test"
1,"gitlab, stage, job, pipeline, rules, branch, echo, script, variables, merge"
2,"jenkins, docker, pipeline, agent, sh, git, error, container, server, node"
3,"jenkins, pipeline, parameter, parameters, script, build, def, job, branch, jenkins pipeline"
4,"workflow, pr, github, main, actions, action, github actions, uses, push, run"
5,"gitlab, bytes, terraform, error, pipeline, data, plan, image, script, using"
6,"azure, app, deploy, uses, deployment, web, github, error, run, web app"
7,"github, run, env, uses, echo, secrets, token, functions, push, docker"
8,"ios, let, certificate, profile, app, security, build, print, error, macos"
9,"docker, pytest, test, container, image, gitlab, service, compose, running, bad"
10,"trigger, azure, branch, pipeline, azure devops, devops, pull, pull request, ci, branches"
11,"image, cache, gitlab, downloading, container, images, ci, pipeline, stage, job"
12,"dotnet, nuget, net, build, error, restore, project, visual, cprogram, dependabot"
