month,topic,count,total,share
2020-08,0,16,17,0.9411764705882353
2020-08,12,1,17,0.058823529411764705
2020-09,-1,1,15,0.06666666666666667
2020-09,0,14,15,0.9333333333333333
2020-10,0,10,10,1.0
2020-11,-1,2,21,0.09523809523809523
2020-11,0,19,21,0.9047619047619048
2020-12,-1,1,17,0.058823529411764705
2020-12,0,16,17,0.9411764705882353
2021-01,-1,1,14,0.07142857142857142
2021-01,0,13,14,0.9285714285714286
2021-02,0,7,7,1.0
2021-03,-1,2,24,0.08333333333333333
2021-03,0,22,24,0.9166666666666666
2021-04,0,13,13,1.0
2021-05,-1,1,11,0.09090909090909091
2021-05,0,8,11,0.7272727272727273
2021-05,1,1,11,0.09090909090909091
2021-05,11,1,11,0.09090909090909091
2021-06,0,4,4,1.0
2021-07,0,9,9,1.0
2021-08,-1,1,9,0.1111111111111111
2021-08,0,7,9,0.7777777777777778
2021-08,8,1,9,0.1111111111111111
2021-09,-1,1,10,0.1
2021-09,0,9,10,0.9
2021-10,0,6,6,1.0
2021-11,0,3,3,1.0
2021-12,0,3,3,1.0
2022-01,0,2,2,1.0
2022-02,0,2,2,1.0
2022-03,-1,1,6,0.16666666666666666
2022-03,0,5,6,0.8333333333333334
2022-04,0,1,2,0.5
2022-04,4,1,2,0.5
2022-05,0,5,5,1.0
2022-06,0,1,1,1.0
2022-07,0,2,2,1.0
2022-08,0,3,3,1.0
2022-09,0,5,5,1.0
2022-10,0,3,3,1.0
2022-11,0,3,3,1.0
2022-12,-1,1,3,0.3333333333333333
2022-12,0,2,3,0.6666666666666666
2023-02,0,1,1,1.0
2023-03,0,1,1,1.0
2023-04,0,1,1,1.0
2023-05,0,1,1,1.0
2023-07,0,1,1,1.0
2023-08,0,2,2,1.0
2023-09,0,2,2,1.0
2023-10,0,1,1,1.0
2023-11,0,1,1,1.0
2024-01,0,1,1,1.0
2024-02,0,1,1,1.0
2024-03,0,1,2,0.5
2024-03,12,1,2,0.5
2024-04,-1,1,1,1.0
2024-07,-1,7,10,0.7
2024-07,4,1,10,0.1
2024-07,7,1,10,0.1
2024-07,10,1,10,0.1
2024-08,-1,8,28,0.2857142857142857
2024-08,0,2,28,0.07142857142857142
2024-08,1,3,28,0.10714285714285714
2024-08,2,1,28,0.03571428571428571
2024-08,3,2,28,0.07142857142857142
2024-08,4,6,28,0.21428571428571427
2024-08,5,1,28,0.03571428571428571
2024-08,8,2,28,0.07142857142857142
2024-08,10,2,28,0.07142857142857142
2024-08,12,1,28,0.03571428571428571
2024-09,-1,12,29,0.41379310344827586
2024-09,1,7,29,0.2413793103448276
2024-09,2,2,29,0.06896551724137931
2024-09,7,2,29,0.06896551724137931
2024-09,9,1,29,0.034482758620689655
2024-09,10,3,29,0.10344827586206896
2024-09,11,2,29,0.06896551724137931
2024-10,-1,18,34,0.5294117647058824
2024-10,0,4,34,0.11764705882352941
2024-10,1,2,34,0.058823529411764705
2024-10,3,2,34,0.058823529411764705
2024-10,4,3,34,0.08823529411764706
2024-10,7,1,34,0.029411764705882353
2024-10,10,4,34,0.11764705882352941
2024-11,-1,12,46,0.2608695652173913
2024-11,0,7,46,0.15217391304347827
2024-11,1,8,46,0.17391304347826086
2024-11,2,2,46,0.043478260869565216
2024-11,4,2,46,0.043478260869565216
2024-11,5,7,46,0.15217391304347827
2024-11,8,2,46,0.043478260869565216
2024-11,9,2,46,0.043478260869565216
2024-11,10,3,46,0.06521739130434782
2024-11,11,1,46,0.021739130434782608
2024-12,-1,16,57,0.2807017543859649
2024-12,0,2,57,0.03508771929824561
2024-12,1,17,57,0.2982456140350877
2024-12,2,3,57,0.05263157894736842
2024-12,3,2,57,0.03508771929824561
2024-12,4,1,57,0.017543859649122806
2024-12,5,5,57,0.08771929824561403
2024-12,6,3,57,0.05263157894736842
2024-12,7,2,57,0.03508771929824561
2024-12,8,1,57,0.017543859649122806
2024-12,9,2,57,0.03508771929824561
2024-12,10,2,57,0.03508771929824561
2024-12,12,1,57,0.017543859649122806
2025-01,-1,13,84,0.15476190476190477
2025-01,0,4,84,0.047619047619047616
2025-01,1,16,84,0.19047619047619047
2025-01,2,21,84,0.25
2025-01,3,13,84,0.15476190476190477
2025-01,5,8,84,0.09523809523809523
2025-01,6,1,84,0.011904761904761904
2025-01,7,1,84,0.011904761904761904
2025-01,8,1,84,0.011904761904761904
2025-01,9,3,84,0.03571428571428571
2025-01,10,2,84,0.023809523809523808
2025-01,11,1,84,0.011904761904761904
2025-02,-1,37,120,0.30833333333333335
2025-02,0,4,120,0.03333333333333333
2025-02,1,23,120,0.19166666666666668
2025-02,2,20,120,0.16666666666666666
2025-02,3,13,120,0.10833333333333334
2025-02,4,2,120,0.016666666666666666
2025-02,5,6,120,0.05
2025-02,6,3,120,0.025
2025-02,7,2,120,0.016666666666666666
2025-02,8,5,120,0.041666666666666664
2025-02,9,3,120,0.025
2025-02,11,2,120,0.016666666666666666
2025-03,-1,43,142,0.3028169014084507
2025-03,0,2,142,0.014084507042253521
2025-03,1,16,142,0.11267605633802817
2025-03,2,15,142,0.1056338028169014
2025-03,3,22,142,0.15492957746478872
2025-03,4,13,142,0.09154929577464789
2025-03,5,4,142,0.028169014084507043
2025-03,6,7,142,0.04929577464788732
2025-03,7,4,142,0.028169014084507043
2025-03,8,5,142,0.035211267605633804
2025-03,9,3,142,0.02112676056338028
2025-03,10,2,142,0.014084507042253521
2025-03,11,4,142,0.028169014084507043
2025-03,12,2,142,0.014084507042253521
2025-04,-1,35,117,0.29914529914529914
2025-04,0,4,117,0.03418803418803419
2025-04,1,11,117,0.09401709401709402
2025-04,2,22,117,0.18803418803418803
2025-04,3,11,117,0.09401709401709402
2025-04,4,9,117,0.07692307692307693
2025-04,5,4,117,0.03418803418803419
2025-04,6,7,117,0.05982905982905983
2025-04,7,9,117,0.07692307692307693
2025-04,8,1,117,0.008547008547008548
2025-04,9,1,117,0.008547008547008548
2025-04,12,3,117,0.02564102564102564
2025-05,-1,27,91,0.2967032967032967
2025-05,0,3,91,0.03296703296703297
2025-05,1,12,91,0.13186813186813187
2025-05,2,12,91,0.13186813186813187
2025-05,3,9,91,0.0989010989010989
2025-05,4,6,91,0.06593406593406594
2025-05,5,2,91,0.02197802197802198
2025-05,6,8,91,0.08791208791208792
2025-05,7,3,91,0.03296703296703297
2025-05,8,4,91,0.04395604395604396
2025-05,9,2,91,0.02197802197802198
2025-05,11,1,91,0.01098901098901099
2025-05,12,2,91,0.02197802197802198
2025-06,-1,18,70,0.2571428571428571
2025-06,0,1,70,0.014285714285714285
2025-06,1,9,70,0.12857142857142856
2025-06,2,10,70,0.14285714285714285
2025-06,3,6,70,0.08571428571428572
2025-06,4,7,70,0.1
2025-06,5,2,70,0.02857142857142857
2025-06,6,4,70,0.05714285714285714
2025-06,7,2,70,0.02857142857142857
2025-06,8,2,70,0.02857142857142857
2025-06,9,2,70,0.02857142857142857
2025-06,10,2,70,0.02857142857142857
2025-06,11,5,70,0.07142857142857142
2025-07,-1,17,58,0.29310344827586204
2025-07,0,1,58,0.017241379310344827
2025-07,1,5,58,0.08620689655172414
2025-07,2,10,58,0.1724137931034483
2025-07,3,3,58,0.05172413793103448
2025-07,4,7,58,0.1206896551724138
2025-07,6,1,58,0.017241379310344827
2025-07,7,3,58,0.05172413793103448
2025-07,8,4,58,0.06896551724137931
2025-07,9,2,58,0.034482758620689655
2025-07,10,2,58,0.034482758620689655
